_id,l_id,r_id
131,1521,26638
132,1708,26638
133,1750,26638
134,1826,26638
135,1896,26638
136,1966,26638
137,1999,26638
138,2469,26638
139,2582,26638
140,393,21137
141,691,21137
142,749,21137
143,772,21137
144,862,21137
145,868,21137
146,1051,21137
147,1134,21137
148,1430,21137
149,1722,21137
150,1729,21137
151,2128,21137
152,2130,21137
153,2133,21137
154,2138,21137
155,2144,21137
156,2157,21137
157,2166,21137
158,2437,21137
159,2508,21137
160,40,9493
161,97,9493
162,141,9493
163,462,9493
164,536,9493
165,551,9493
166,791,9493
167,1060,9493
168,1184,9493
169,1192,9493
170,1313,9493
171,1401,9493
172,1404,9493
173,1599,9493
174,1732,9493
175,1785,9493
176,2224,9493
177,2395,9493
178,2464,9493
179,2486,9493
180,189,35804
181,211,35804
182,442,35804
183,633,35804
184,653,35804
185,757,35804
186,908,35804
187,976,35804
188,986,35804
189,1017,35804
190,1027,35804
191,1083,35804
192,1286,35804
193,1419,35804
194,1699,35804
195,1722,35804
196,1835,35804
197,1955,35804
198,2115,35804
199,2200,35804
200,75,28214
201,610,28214
202,643,28214
203,824,28214
204,846,28214
205,856,28214
206,951,28214
207,960,28214
208,1076,28214
209,1163,28214
210,1257,28214
211,1268,28214
212,1401,28214
213,1421,28214
214,1736,28214
215,1766,28214
216,1996,28214
217,2030,28214
218,2200,28214
219,2264,28214
220,220,43765
221,788,43765
222,823,43765
223,957,43765
224,1186,43765
225,1525,43765
226,1545,43765
227,1650,43765
228,1811,43765
229,1833,43765
230,2228,43765
231,2272,43765
232,2351,43765
233,2365,43765
234,2367,43765
235,2375,43765
236,2458,43765
237,2563,43765
238,2605,43765
239,2609,43765
240,181,55625
241,243,55625
242,316,55625
243,420,55625
244,475,55625
245,551,55625
246,723,55625
247,835,55625
248,1069,55625
249,1154,55625
250,1281,55625
251,1325,55625
252,1465,55625
253,1501,55625
254,1545,55625
255,1673,55625
256,2074,55625
257,2304,55625
258,2321,55625
259,2367,55625
260,41,56151
261,119,56151
262,265,56151
263,284,56151
264,707,56151
265,804,56151
266,949,56151
267,976,56151
268,1025,56151
269,1227,56151
270,1243,56151
271,1460,56151
272,1736,56151
273,1742,56151
274,1743,56151
275,1851,56151
276,1885,56151
277,2095,56151
278,2531,56151
279,2601,56151
280,217,3217
281,367,3217
282,419,3217
283,1058,3217
284,1182,3217
285,1223,3217
286,1236,3217
287,1376,3217
288,1522,3217
289,1661,3217
290,1944,3217
291,2006,3217
292,2025,3217
293,2148,3217
294,2149,3217
295,2229,3217
296,2336,3217
297,2389,3217
298,2502,3217
299,2533,3217
300,38,14988
301,213,14988
302,387,14988
303,431,14988
304,476,14988
305,553,14988
306,574,14988
307,1041,14988
308,1158,14988
309,1420,14988
310,1642,14988
311,1646,14988
312,1651,14988
313,1655,14988
314,1670,14988
315,1689,14988
316,1708,14988
317,1709,14988
318,1781,14988
319,1908,14988
320,99,1353
321,220,1353
322,237,1353
323,239,1353
324,290,1353
325,394,1353
326,533,1353
327,780,1353
328,1281,1353
329,1305,1353
330,1467,1353
331,1482,1353
332,1630,1353
333,1687,1353
334,1920,1353
335,2012,1353
336,2122,1353
337,2442,1353
338,2499,1353
339,2528,1353
340,96,20546
341,119,20546
342,307,20546
343,407,20546
344,438,20546
345,456,20546
346,567,20546
347,609,20546
348,769,20546
349,855,20546
350,916,20546
351,946,20546
352,962,20546
353,991,20546
354,1007,20546
355,1039,20546
356,1642,20546
357,2367,20546
358,2409,20546
359,2519,20546
360,198,12685
361,620,12685
362,676,12685
363,723,12685
364,973,12685
365,1054,12685
366,1243,12685
367,1254,12685
368,1468,12685
369,1598,12685
370,1620,12685
371,1670,12685
372,1721,12685
373,1764,12685
374,1836,12685
375,1845,12685
376,1947,12685
377,2112,12685
378,2270,12685
379,2407,12685
380,13,55765
381,198,55765
382,512,55765
383,569,55765
384,1052,55765
385,1077,55765
386,1342,55765
387,1392,55765
388,1613,55765
389,1896,55765
390,2235,55765
391,2241,55765
392,2319,55765
393,2371,55765
394,2378,55765
395,2487,55765
396,2507,55765
397,2518,55765
398,2602,55765
399,2607,55765
400,73,3029
401,186,3029
402,384,3029
403,559,3029
404,660,3029
405,671,3029
406,676,3029
407,769,3029
408,794,3029
409,833,3029
410,916,3029
411,1011,3029
412,1703,3029
413,1747,3029
414,1806,3029
415,1966,3029
416,2099,3029
417,2277,3029
418,2347,3029
419,2527,3029
420,68,15413
421,318,15413
422,484,15413
423,567,15413
424,583,15413
425,637,15413
426,856,15413
427,874,15413
428,878,15413
429,1141,15413
430,1188,15413
431,1266,15413
432,1526,15413
433,1673,15413
434,1720,15413
435,2065,15413
436,2086,15413
437,2153,15413
438,2170,15413
439,2489,15413
440,44,3908
441,190,3908
442,198,3908
443,579,3908
444,590,3908
445,1224,3908
446,1382,3908
447,1418,3908
448,1492,3908
449,1590,3908
450,1642,3908
451,1734,3908
452,1785,3908
453,1867,3908
454,1912,3908
455,2082,3908
456,2312,3908
457,2454,3908
458,2602,3908
459,2611,3908
460,44,13450
461,108,13450
462,130,13450
463,266,13450
464,337,13450
465,571,13450
466,794,13450
467,855,13450
468,1011,13450
469,1028,13450
470,1164,13450
471,1182,13450
472,1243,13450
473,1738,13450
474,1771,13450
475,2026,13450
476,2102,13450
477,2189,13450
478,2390,13450
479,2520,13450
480,137,2952
481,292,2952
482,512,2952
483,582,2952
484,802,2952
485,835,2952
486,1134,2952
487,1178,2952
488,1389,2952
489,1472,2952
490,1663,2952
491,1769,2952
492,1826,2952
493,1988,2952
494,2008,2952
495,2131,2952
496,2259,2952
497,2321,2952
498,2408,2952
499,2507,2952
500,354,33165
501,470,33165
502,581,33165
503,960,33165
504,1085,33165
505,1251,33165
506,1579,33165
507,1682,33165
508,1750,33165
509,1886,33165
510,1911,33165
511,1918,33165
512,1920,33165
513,1923,33165
514,1928,33165
515,2083,33165
516,2088,33165
517,2214,33165
518,2307,33165
519,2562,33165
520,138,2861
521,146,2861
522,156,2861
523,301,2861
524,335,2861
525,359,2861
526,370,2861
527,530,2861
528,794,2861
529,1185,2861
530,1591,2861
531,1983,2861
532,2217,2861
533,2271,2861
534,2277,2861
535,2291,2861
536,2371,2861
537,2418,2861
538,2467,2861
539,2602,2861
540,652,13012
541,771,13012
542,980,13012
543,993,13012
544,996,13012
545,1080,13012
546,1247,13012
547,1263,13012
548,1281,13012
549,1334,13012
550,1486,13012
551,1580,13012
552,1644,13012
553,1687,13012
554,1814,13012
555,1871,13012
556,2101,13012
557,2287,13012
558,2360,13012
559,2376,13012
560,82,42528
561,139,42528
562,144,42528
563,257,42528
564,336,42528
565,338,42528
566,339,42528
567,348,42528
568,357,42528
569,369,42528
570,529,42528
571,780,42528
572,930,42528
573,1210,42528
574,1271,42528
575,1274,42528
576,1276,42528
577,1796,42528
578,1896,42528
579,2109,42528
580,44,40650
581,208,40650
582,227,40650
583,306,40650
584,415,40650
585,444,40650
586,500,40650
587,613,40650
588,970,40650
589,1182,40650
590,1280,40650
591,1295,40650
592,1301,40650
593,1554,40650
594,1829,40650
595,1869,40650
596,1908,40650
597,2181,40650
598,2228,40650
599,2580,40650
600,111,42074
601,220,42074
602,367,42074
603,512,42074
604,591,42074
605,623,42074
606,775,42074
607,848,42074
608,1017,42074
609,1073,42074
610,1246,42074
611,1374,42074
612,1450,42074
613,1806,42074
614,2134,42074
615,2235,42074
616,2293,42074
617,2301,42074
618,2475,42074
619,2503,42074
620,44,6359
621,74,6359
622,351,6359
623,542,6359
624,921,6359
625,967,6359
626,994,6359
627,1011,6359
628,1177,6359
629,1283,6359
630,1526,6359
631,1607,6359
632,1737,6359
633,1824,6359
634,1826,6359
635,1966,6359
636,2069,6359
637,2263,6359
638,2277,6359
639,2443,6359
640,369,26052
641,548,26052
642,767,26052
643,869,26052
644,1163,26052
645,1228,26052
646,1378,26052
647,1527,26052
648,1612,26052
649,1625,26052
650,1645,26052
651,1650,26052
652,1685,26052
653,1729,26052
654,1992,26052
655,2062,26052
656,2153,26052
657,2312,26052
658,2331,26052
659,2358,26052
660,121,60178
661,265,60178
662,452,60178
663,1138,60178
664,1149,60178
665,1182,60178
666,1243,60178
667,1442,60178
668,1688,60178
669,1940,60178
670,1947,60178
671,2394,60178
672,2429,60178
673,2437,60178
674,2440,60178
675,2491,60178
676,2515,60178
677,2524,60178
678,2544,60178
679,2547,60178
680,50,38546
681,124,38546
682,188,38546
683,220,38546
684,473,38546
685,602,38546
686,634,38546
687,641,38546
688,668,38546
689,728,38546
690,743,38546
691,854,38546
692,957,38546
693,1185,38546
694,1482,38546
695,1544,38546
696,1563,38546
697,1579,38546
698,2017,38546
699,2268,38546
700,5,36499
701,88,36499
702,367,36499
703,631,36499
704,718,36499
705,736,36499
706,895,36499
707,1095,36499
708,1281,36499
709,1295,36499
710,1305,36499
711,1317,36499
712,1357,36499
713,1636,36499
714,1708,36499
715,1720,36499
716,1961,36499
717,1966,36499
718,2108,36499
719,2385,36499
720,254,62206
721,460,62206
722,551,62206
723,707,62206
724,1125,62206
725,1129,62206
726,1133,62206
727,1288,62206
728,1497,62206
729,1525,62206
730,1696,62206
731,1738,62206
732,1792,62206
733,1962,62206
734,2133,62206
735,2300,62206
736,2436,62206
737,2441,62206
738,2448,62206
739,2482,62206
740,55,7955
741,87,7955
742,101,7955
743,195,7955
744,317,7955
745,360,7955
746,373,7955
747,387,7955
748,677,7955
749,727,7955
750,1083,7955
751,1100,7955
752,1295,7955
753,1810,7955
754,1858,7955
755,2035,7955
756,2041,7955
757,2161,7955
758,2325,7955
759,2514,7955
760,120,30095
761,150,30095
762,251,30095
763,401,30095
764,486,30095
765,567,30095
766,698,30095
767,749,30095
768,1171,30095
769,1212,30095
770,1247,30095
771,1586,30095
772,1612,30095
773,1630,30095
774,1853,30095
775,1865,30095
776,2016,30095
777,2103,30095
778,2243,30095
779,2449,30095
780,629,50885
781,715,50885
782,826,50885
783,1229,50885
784,1254,50885
785,1344,50885
786,1455,50885
787,1663,50885
788,1769,50885
789,1915,50885
790,1947,50885
791,1957,50885
792,2148,50885
793,2177,50885
794,2242,50885
795,2253,50885
796,2401,50885
797,2403,50885
798,2429,50885
799,2495,50885
800,494,15062
801,635,15062
802,700,15062
803,724,15062
804,792,15062
805,839,15062
806,1007,15062
807,1054,15062
808,1208,15062
809,1383,15062
810,1396,15062
811,1477,15062
812,1653,15062
813,1998,15062
814,2026,15062
815,2067,15062
816,2199,15062
817,2229,15062
818,2280,15062
819,2569,15062
820,323,51962
821,501,51962
822,957,51962
823,1017,51962
824,1061,51962
825,1212,51962
826,1272,51962
827,1398,51962
828,1468,51962
829,1545,51962
830,1686,51962
831,1718,51962
832,1751,51962
833,1953,51962
834,1963,51962
835,2016,51962
836,2375,51962
837,2378,51962
838,2386,51962
839,2498,51962
840,192,52947
841,199,52947
842,272,52947
843,332,52947
844,408,52947
845,438,52947
846,553,52947
847,569,52947
848,929,52947
849,947,52947
850,983,52947
851,1324,52947
852,1729,52947
853,1825,52947
854,2154,52947
855,2182,52947
856,2201,52947
857,2407,52947
858,2489,52947
859,2564,52947
860,287,36172
861,307,36172
862,415,36172
863,797,36172
864,827,36172
865,835,36172
866,939,36172
867,1303,36172
868,1317,36172
869,1424,36172
870,1583,36172
871,1649,36172
872,1652,36172
873,1706,36172
874,1966,36172
875,2144,36172
876,2208,36172
877,2426,36172
878,2470,36172
879,2485,36172
880,50,50212
881,119,50212
882,165,50212
883,209,50212
884,266,50212
885,284,50212
886,454,50212
887,486,50212
888,508,50212
889,528,50212
890,641,50212
891,653,50212
892,804,50212
893,1045,50212
894,1138,50212
895,1385,50212
896,1586,50212
897,2030,50212
898,2329,50212
899,2352,50212
900,50,17024
901,198,17024
902,486,17024
903,608,17024
904,698,17024
905,713,17024
906,1216,17024
907,1304,17024
908,1363,17024
909,1385,17024
910,1449,17024
911,1610,17024
912,1732,17024
913,1849,17024
914,1896,17024
915,1901,17024
916,2133,17024
917,2144,17024
918,2239,17024
919,2576,17024
920,273,45697
921,915,45697
922,931,45697
923,1032,45697
924,1058,45697
925,1102,45697
926,1194,45697
927,1371,45697
928,1449,45697
929,1613,45697
930,1799,45697
931,1930,45697
932,1956,45697
933,2008,45697
934,2023,45697
935,2148,45697
936,2283,45697
937,2503,45697
938,2520,45697
939,2531,45697
940,284,32977
941,386,32977
942,421,32977
943,454,32977
944,641,32977
945,791,32977
946,794,32977
947,804,32977
948,1167,32977
949,1225,32977
950,1615,32977
951,1620,32977
952,1718,32977
953,1743,32977
954,1868,32977
955,2147,32977
956,2277,32977
957,2369,32977
958,2482,32977
959,2487,32977
960,44,56792
961,71,56792
962,287,56792
963,444,56792
964,454,56792
965,718,56792
966,757,56792
967,959,56792
968,972,56792
969,987,56792
970,1081,56792
971,1295,56792
972,1453,56792
973,1637,56792
974,1699,56792
975,1744,56792
976,1966,56792
977,1995,56792
978,2204,56792
979,2458,56792
980,44,887
981,53,887
982,119,887
983,208,887
984,220,887
985,367,887
986,387,887
987,741,887
988,974,887
989,1185,887
990,1378,887
991,1384,887
992,1452,887
993,1511,887
994,1546,887
995,1595,887
996,1819,887
997,2129,887
998,2480,887
999,2520,887
1000,44,27802
1001,158,27802
1002,184,27802
1003,265,27802
1004,271,27802
1005,444,27802
1006,519,27802
1007,535,27802
1008,702,27802
1009,718,27802
1010,1095,27802
1011,1113,27802
1012,1498,27802
1013,1854,27802
1014,1908,27802
1015,1984,27802
1016,2069,27802
1017,2367,27802
1018,2372,27802
1019,2561,27802
1020,119,34262
1021,128,34262
1022,222,34262
1023,243,34262
1024,284,34262
1025,298,34262
1026,454,34262
1027,794,34262
1028,804,34262
1029,841,34262
1030,1543,34262
1031,1557,34262
1032,1590,34262
1033,1734,34262
1034,1812,34262
1035,2078,34262
1036,2082,34262
1037,2172,34262
1038,2219,34262
1039,2321,34262
1040,111,50478
1041,543,50478
1042,617,50478
1043,668,50478
1044,1064,50478
1045,1643,50478
1046,1651,50478
1047,1655,50478
1048,1670,50478
1049,1689,50478
1050,1708,50478
1051,1709,50478
1052,1716,50478
1053,1726,50478
1054,1727,50478
1055,1781,50478
1056,2387,50478
1057,2446,50478
1058,2546,50478
1059,2602,50478
1060,89,63156
1061,149,63156
1062,245,63156
1063,342,63156
1064,367,63156
1065,374,63156
1066,387,63156
1067,471,63156
1068,656,63156
1069,959,63156
1070,1025,63156
1071,1153,63156
1072,1178,63156
1073,1199,63156
1074,1360,63156
1075,1528,63156
1076,1664,63156
1077,1709,63156
1078,2271,63156
1079,2480,63156
1080,50,30176
1081,198,30176
1082,387,30176
1083,426,30176
1084,427,30176
1085,630,30176
1086,736,30176
1087,803,30176
1088,887,30176
1089,1091,30176
1090,1292,30176
1091,1373,30176
1092,1376,30176
1093,1613,30176
1094,1614,30176
1095,1622,30176
1096,1979,30176
1097,2013,30176
1098,2432,30176
1099,2537,30176
1100,279,57486
1101,354,57486
1102,378,57486
1103,413,57486
1104,446,57486
1105,519,57486
1106,617,57486
1107,618,57486
1108,659,57486
1109,770,57486
1110,781,57486
1111,790,57486
1112,1184,57486
1113,1208,57486
1114,1497,57486
1115,1559,57486
1116,1835,57486
1117,1892,57486
1118,2193,57486
1119,2267,57486
1120,227,46929
1121,294,46929
1122,298,46929
1123,310,46929
1124,339,46929
1125,365,46929
1126,740,46929
1127,1128,46929
1128,1399,46929
1129,1426,46929
1130,1582,46929
1131,1663,46929
1132,1673,46929
1133,1751,46929
1134,1869,46929
1135,1945,46929
1136,1958,46929
1137,2180,46929
1138,2337,46929
1139,2344,46929
1140,27,9595
1141,41,9595
1142,61,9595
1143,265,9595
1144,341,9595
1145,576,9595
1146,679,9595
1147,815,9595
1148,820,9595
1149,907,9595
1150,910,9595
1151,1026,9595
1152,1088,9595
1153,1411,9595
1154,1443,9595
1155,1518,9595
1156,1880,9595
1157,2246,9595
1158,2416,9595
1159,2468,9595
1160,44,38118
1161,284,38118
1162,410,38118
1163,497,38118
1164,571,38118
1165,832,38118
1166,938,38118
1167,985,38118
1168,1011,38118
1169,1081,38118
1170,1385,38118
1171,1717,38118
1172,2061,38118
1173,2312,38118
1174,2313,38118
1175,2367,38118
1176,2368,38118
1177,2371,38118
1178,2375,38118
1179,2597,38118
1180,195,13451
1181,332,13451
1182,334,13451
1183,401,13451
1184,402,13451
1185,407,13451
1186,862,13451
1187,900,13451
1188,1125,13451
1189,1142,13451
1190,1192,13451
1191,1197,13451
1192,1251,13451
1193,1413,13451
1194,1531,13451
1195,1669,13451
1196,2325,13451
1197,2384,13451
1198,2460,13451
1199,2565,13451
1200,28,52022
1201,87,52022
1202,151,52022
1203,516,52022
1204,566,52022
1205,590,52022
1206,652,52022
1207,714,52022
1208,834,52022
1209,1027,52022
1210,1103,52022
1211,1179,52022
1212,1577,52022
1213,1631,52022
1214,1700,52022
1215,2020,52022
1216,2286,52022
1217,2318,52022
1218,2470,52022
1219,2517,52022
1220,50,644
1221,220,644
1222,375,644
1223,556,644
1224,735,644
1225,825,644
1226,1064,644
1227,1366,644
1228,1384,644
1229,1940,644
1230,1942,644
1231,1956,644
1232,2021,644
1233,2119,644
1234,2217,644
1235,2293,644
1236,2298,644
1237,2334,644
1238,2445,644
1239,2574,644
1240,255,52886
1241,284,52886
1242,454,52886
1243,804,52886
1244,822,52886
1245,925,52886
1246,1182,52886
1247,1354,52886
1248,1472,52886
1249,1547,52886
1250,1578,52886
1251,1614,52886
1252,1645,52886
1253,1669,52886
1254,1805,52886
1255,1848,52886
1256,2222,52886
1257,2251,52886
1258,2382,52886
1259,2615,52886
1260,50,29807
1261,119,29807
1262,236,29807
1263,512,29807
1264,528,29807
1265,646,29807
1266,783,29807
1267,1152,29807
1268,1254,29807
1269,1448,29807
1270,1718,29807
1271,1734,29807
1272,1997,29807
1273,2005,29807
1274,2006,29807
1275,2023,29807
1276,2082,29807
1277,2298,29807
1278,2525,29807
1279,2604,29807
1280,176,53973
1281,412,53973
1282,438,53973
1283,457,53973
1284,489,53973
1285,505,53973
1286,642,53973
1287,693,53973
1288,753,53973
1289,893,53973
1290,971,53973
1291,986,53973
1292,1045,53973
1293,1227,53973
1294,1340,53973
1295,1418,53973
1296,1778,53973
1297,1946,53973
1298,2314,53973
1299,2339,53973
1300,50,19527
1301,78,19527
1302,86,19527
1303,246,19527
1304,284,19527
1305,454,19527
1306,650,19527
1307,804,19527
1308,835,19527
1309,869,19527
1310,919,19527
1311,1243,19527
1312,1268,19527
1313,1528,19527
1314,1650,19527
1315,1908,19527
1316,1925,19527
1317,1941,19527
1318,2023,19527
1319,2099,19527
1320,82,10718
1321,306,10718
1322,373,10718
1323,718,10718
1324,731,10718
1325,1056,10718
1326,1206,10718
1327,1208,10718
1328,1411,10718
1329,1436,10718
1330,1540,10718
1331,1563,10718
1332,1650,10718
1333,1670,10718
1334,1737,10718
1335,1958,10718
1336,2045,10718
1337,2198,10718
1338,2199,10718
1339,2416,10718
1340,301,26832
1341,428,26832
1342,619,26832
1343,709,26832
1344,1079,26832
1345,1170,26832
1346,1670,26832
1347,1692,26832
1348,1879,26832
1349,1915,26832
1350,1916,26832
1351,1920,26832
1352,1924,26832
1353,1927,26832
1354,1932,26832
1355,1933,26832
1356,1939,26832
1357,1941,26832
1358,2049,26832
1359,2547,26832
1360,294,57077
1361,776,57077
1362,953,57077
1363,1010,57077
1364,1243,57077
1365,1332,57077
1366,1408,57077
1367,1478,57077
1368,1564,57077
1369,1586,57077
1370,1603,57077
1371,1607,57077
1372,1643,57077
1373,1711,57077
1374,1716,57077
1375,1718,57077
1376,1720,57077
1377,1831,57077
1378,2027,57077
1379,2239,57077
1380,344,54717
1381,390,54717
1382,394,54717
1383,551,54717
1384,951,54717
1385,1245,54717
1386,1367,54717
1387,1432,54717
1388,1642,54717
1389,1673,54717
1390,1810,54717
1391,1842,54717
1392,2023,54717
1393,2046,54717
1394,2205,54717
1395,2263,54717
1396,2384,54717
1397,2394,54717
1398,2521,54717
1399,2540,54717
1400,110,45116
1401,133,45116
1402,157,45116
1403,366,45116
1404,486,45116
1405,595,45116
1406,623,45116
1407,718,45116
1408,743,45116
1409,932,45116
1410,940,45116
1411,982,45116
1412,1140,45116
1413,1258,45116
1414,1573,45116
1415,1594,45116
1416,2010,45116
1417,2317,45116
1418,2354,45116
1419,2470,45116
1420,28,20051
1421,205,20051
1422,464,20051
1423,512,20051
1424,559,20051
1425,795,20051
1426,1137,20051
1427,1170,20051
1428,1334,20051
1429,1612,20051
1430,1675,20051
1431,1683,20051
1432,1690,20051
1433,1772,20051
1434,1836,20051
1435,2118,20051
1436,2232,20051
1437,2235,20051
1438,2244,20051
1439,2248,20051
1440,183,6368
1441,282,6368
1442,473,6368
1443,566,6368
1444,1360,6368
1445,1457,6368
1446,1648,6368
1447,1661,6368
1448,1904,6368
1449,2201,6368
1450,2279,6368
1451,2321,6368
1452,2327,6368
1453,2344,6368
1454,2350,6368
1455,2371,6368
1456,2375,6368
1457,2378,6368
1458,2460,6368
1459,2521,6368
1460,41,27625
1461,334,27625
1462,370,27625
1463,586,27625
1464,654,27625
1465,828,27625
1466,884,27625
1467,941,27625
1468,1528,27625
1469,1578,27625
1470,1589,27625
1471,1669,27625
1472,1826,27625
1473,1896,27625
1474,1907,27625
1475,1999,27625
1476,2220,27625
1477,2419,27625
1478,2480,27625
1479,2592,27625
1480,170,16324
1481,203,16324
1482,220,16324
1483,290,16324
1484,387,16324
1485,494,16324
1486,737,16324
1487,757,16324
1488,979,16324
1489,1246,16324
1490,1248,16324
1491,1393,16324
1492,1744,16324
1493,1862,16324
1494,1878,16324
1495,2019,16324
1496,2249,16324
1497,2272,16324
1498,2323,16324
1499,2393,16324
1500,356,25982
1501,406,25982
1502,418,25982
1503,439,25982
1504,751,25982
1505,904,25982
1506,941,25982
1507,1368,25982
1508,1481,25982
1509,1683,25982
1510,1879,25982
1511,1883,25982
1512,1885,25982
1513,1886,25982
1514,1903,25982
1515,1915,25982
1516,2019,25982
1517,2386,25982
1518,2429,25982
1519,2568,25982
1520,220,27443
1521,338,27443
1522,344,27443
1523,438,27443
1524,441,27443
1525,546,27443
1526,615,27443
1527,665,27443
1528,851,27443
1529,983,27443
1530,1078,27443
1531,1649,27443
1532,1765,27443
1533,1771,27443
1534,1874,27443
1535,1876,27443
1536,2293,27443
1537,2323,27443
1538,2442,27443
1539,2569,27443
1540,120,51226
1541,157,51226
1542,195,51226
1543,332,51226
1544,473,51226
1545,632,51226
1546,676,51226
1547,818,51226
1548,852,51226
1549,874,51226
1550,1069,51226
1551,1192,51226
1552,1231,51226
1553,1274,51226
1554,1832,51226
1555,2060,51226
1556,2070,51226
1557,2231,51226
1558,2332,51226
1559,2490,51226
1560,31,58474
1561,50,58474
1562,98,58474
1563,119,58474
1564,478,58474
1565,602,58474
1566,616,58474
1567,1254,58474
1568,1561,58474
1569,1834,58474
1570,1869,58474
1571,1873,58474
1572,2004,58474
1573,2019,58474
1574,2023,58474
1575,2049,58474
1576,2075,58474
1577,2243,58474
1578,2300,58474
1579,2541,58474
1580,133,47064
1581,194,47064
1582,564,47064
1583,569,47064
1584,646,47064
1585,798,47064
1586,804,47064
1587,889,47064
1588,1243,47064
1589,1380,47064
1590,1449,47064
1591,1503,47064
1592,1663,47064
1593,1832,47064
1594,1873,47064
1595,1908,47064
1596,1915,47064
1597,2401,47064
1598,2435,47064
1599,2615,47064
1600,29,40378
1601,61,40378
1602,93,40378
1603,198,40378
1604,394,40378
1605,957,40378
1606,1154,40378
1607,1545,40378
1608,1705,40378
1609,1839,40378
1610,1892,40378
1611,2078,40378
1612,2153,40378
1613,2394,40378
1614,2416,40378
1615,2507,40378
1616,2511,40378
1617,2540,40378
1618,2548,40378
1619,2611,40378
1620,571,25783
1621,619,25783
1622,799,25783
1623,852,25783
1624,1082,25783
1625,1083,25783
1626,1405,25783
1627,1418,25783
1628,1447,25783
1629,1477,25783
1630,1506,25783
1631,1551,25783
1632,1583,25783
1633,1729,25783
1634,1763,25783
1635,2163,25783
1636,2245,25783
1637,2359,25783
1638,2385,25783
1639,2576,25783
1640,14,3497
1641,130,3497
1642,378,3497
1643,462,3497
1644,916,3497
1645,929,3497
1646,972,3497
1647,1342,3497
1648,1584,3497
1649,1783,3497
1650,2249,3497
1651,2253,3497
1652,2257,3497
1653,2273,3497
1654,2298,3497
1655,2308,3497
1656,2325,3497
1657,2331,3497
1658,2336,3497
1659,2370,3497
1660,88,21327
1661,270,21327
1662,333,21327
1663,433,21327
1664,478,21327
1665,554,21327
1666,1027,21327
1667,1252,21327
1668,1375,21327
1669,1454,21327
1670,1840,21327
1671,1854,21327
1672,2006,21327
1673,2039,21327
1674,2076,21327
1675,2149,21327
1676,2222,21327
1677,2392,21327
1678,2465,21327
1679,2467,21327
1680,50,59484
1681,188,59484
1682,255,59484
1683,616,59484
1684,642,59484
1685,797,59484
1686,954,59484
1687,958,59484
1688,1157,59484
1689,1250,59484
1690,1578,59484
1691,1807,59484
1692,1864,59484
1693,2023,59484
1694,2213,59484
1695,2248,59484
1696,2263,59484
1697,2312,59484
1698,2318,59484
1699,2321,59484
1700,23,51640
1701,50,51640
1702,107,51640
1703,239,51640
1704,309,51640
1705,569,51640
1706,646,51640
1707,748,51640
1708,771,51640
1709,835,51640
1710,993,51640
1711,1125,51640
1712,1385,51640
1713,1447,51640
1714,1449,51640
1715,1454,51640
1716,1477,51640
1717,1564,51640
1718,2139,51640
1719,2326,51640
1720,48,6915
1721,284,6915
1722,414,6915
1723,526,6915
1724,735,6915
1725,766,6915
1726,1056,6915
1727,1076,6915
1728,1245,6915
1729,1256,6915
1730,1321,6915
1731,1332,6915
1732,1465,6915
1733,1519,6915
1734,1630,6915
1735,1869,6915
1736,2040,6915
1737,2178,6915
1738,2484,6915
1739,2615,6915
1740,135,12194
